2057          ; Grapheme_Base
205F          ; Grapheme_Base
2070          ; Grapheme_Base
2071          ; Grapheme_Base
2074..2079    ; Grapheme_Base
207A..207C    ; Grapheme_Base
207D          ; Grapheme_Base
207E          ; Grapheme_Base
207F          ; Grapheme_Base
2080..2089    ; Grapheme_Base
208A..208C    ; Grapheme_Base
208D          ; Grapheme_Base
208E          ; Grapheme_Base
20A0..20B1    ; Grapheme_Base
2100..2101    ; Grapheme_Base
2102          ; Grapheme_Base
2103..2106    ; Grapheme_Base
2107          ; Grapheme_Base
2108..2109    ; Grapheme_Base
210A..2113    ; Grapheme_Base
2114          ; Grapheme_Base
2115          ; Grapheme_Base
2116..2118    ; Grapheme_Base
2119..211D    ; Grapheme_Base
211E..2123    ; Grapheme_Base
2124          ; Grapheme_Base
2125          ; Grapheme_Base
2126          ; Grapheme_Base
2127          ; Grapheme_Base
2128          ; Grapheme_Base
2129          ; Grapheme_Base
212A..212D    ; Grapheme_Base
212E          ; Grapheme_Base
212F..2131    ; Grapheme_Base
2132          ; Grapheme_Base
2133..2134    ; Grapheme_Base
2135..2138    ; Grapheme_Base
2139          ; Grapheme_Base
213A..213B    ; Grapheme_Base
213D..213F    ; Grapheme_Base
2140..2144    ; Grapheme_Base
2145..2149    ; Grapheme_Base
214A          ; Grapheme_Base
214B          ; Grapheme_Base
2153..215F    ; Grapheme_Base
2160..2183    ; Grapheme_Base
2190..2194    ; Grapheme_Base
2195..2199    ; Grapheme_Base
219A..219B    ; Grapheme_Base
219C..219F    ; Grapheme_Base
21A0          ; Grapheme_Base
21A1..21A2    ; Grapheme_Base
21A3          ; Grapheme_Base
21A4..21A5    ; Grapheme_Base
21A6          ; Grapheme_Base
21A7..21AD    ; Grapheme_Base
21AE          ; Grapheme_Base
21AF..21CD    ; Grapheme_Base
21CE..21CF    ; Grapheme_Base
21D0..21D1    ; Grapheme_Base
21D2          ; Grapheme_Base
21D3          ; Grapheme_Base
21D4          ; Grapheme_Base
21D5..21F3    ; Grapheme_Base
21F4..22FF    ; Grapheme_Base
2300..2307    ; Grapheme_Base
2308..230B    ; Grapheme_Base
230C..231F    ; Grapheme_Base
2320..2321    ; Grapheme_Base
2322..2328    ; Grapheme_Base
2329          ; Grapheme_Base
232A          ; Grapheme_Base
232B..237B    ; Grapheme_Base
237C          ; Grapheme_Base
237D..239A    ; Grapheme_Base
239B..23B3    ; Grapheme_Base
23B4          ; Grapheme_Base
23B5          ; Grapheme_Base
23B6          ; Grapheme_Base
23B7..23D0    ; Grapheme_Base
2400..2426    ; Grapheme_Base
2440..244A    ; Grapheme_Base
2460..249B    ; Grapheme_Base
249C..24E9    ; Grapheme_Base
24EA..24FF    ; Grapheme_Base
2500..25B6    ; Grapheme_Base
25B7          ; Grapheme_Base
25B8..25C0    ; Grapheme_Base
25C1          ; Grapheme_Base
25C2..25F7    ; Grapheme_Base
25F8..25FF    ; Grapheme_Base
2600..2617    ; Grapheme_Base
2619..266E    ; Grapheme_Base
266F          ; Grapheme_Base
